trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type
A-2+平日+1,8:30:00,8:30:00,60-0,1,,0,0
A-2+平日+1,8:33:00,8:33:00,61-0,2,,0,0
A-2+平日+1,8:35:00,8:35:00,62-0,3,,0,0
A-2+平日+1,8:37:00,8:37:00,63-0,4,,0,0
A-2+平日+1,8:38:00,8:38:00,64-0,5,,0,0
A-2+平日+1,8:39:00,8:39:00,59-0,6,,0,0
A-2+平日+1,8:43:00,8:43:00,46-0,7,,0,0
A-2+平日+1,8:44:00,8:44:00,47-0,8,,0,0
A-2+平日+1,8:46:00,8:46:00,48-0,9,,0,0
A-2+平日+1,8:47:00,8:47:00,49-0,10,,0,0
A-2+平日+1,8:50:00,8:50:00,50-0,11,,0,0
A-2+平日+1,8:53:00,8:53:00,1-0,12,,0,0
A-2+平日+1,9:00:00,9:00:00,51-0,13,,0,0
A-2+平日+1,9:01:00,9:01:00,52-0,14,,0,0
A-2+平日+1,9:02:00,9:02:00,53-0,15,,0,0
A-2+平日+1,9:03:00,9:03:00,54-0,16,,0,0
A-2+平日+1,9:05:00,9:05:00,55-0,17,,0,0
A-2+平日+1,9:07:00,9:07:00,56-0,18,,0,0
A-2+平日+1,9:11:00,9:11:00,66-0,19,,0,0
A-2+平日+1,9:15:00,9:15:00,57-0,20,,0,0
A-2+平日+1,9:16:00,9:16:00,58-0,21,,0,0
A-2+平日+1,9:18:00,9:18:00,63-0,22,,0,0
A-2+平日+1,9:19:00,9:19:00,64-0,23,,0,0
A-2+平日+1,9:20:00,9:20:00,62-0,24,,0,0
A-2+平日+1,9:22:00,9:22:00,61-0,25,,0,0
A-2+平日+1,9:26:00,9:26:00,60-0,26,,0,0
A-1+平日+2,11:06:00,11:06:00,60-0,1,,0,0
A-1+平日+2,11:09:00,11:09:00,61-0,2,,0,0
A-1+平日+2,11:11:00,11:11:00,62-0,3,,0,0
A-1+平日+2,11:13:00,11:13:00,63-0,4,,0,0
A-1+平日+2,11:14:00,11:14:00,64-0,5,,0,0
A-1+平日+2,11:15:00,11:15:00,59-0,6,,0,0
A-1+平日+2,11:19:00,11:19:00,46-0,7,,0,0
A-1+平日+2,11:20:00,11:20:00,47-0,8,,0,0
A-1+平日+2,11:22:00,11:22:00,48-0,9,,0,0
A-1+平日+2,11:23:00,11:23:00,49-0,10,,0,0
A-1+平日+2,11:26:00,11:26:00,50-0,11,,0,0
A-1+平日+2,11:29:00,11:29:00,1-0,12,,0,0
A-1+平日+2,11:36:00,11:36:00,51-0,13,,0,0
A-1+平日+2,11:37:00,11:37:00,52-0,14,,0,0
A-1+平日+2,11:38:00,11:38:00,53-0,15,,0,0
A-1+平日+2,11:39:00,11:39:00,54-0,16,,0,0
A-1+平日+2,11:41:00,11:41:00,55-0,17,,0,0
A-1+平日+2,11:43:00,11:43:00,56-0,18,,0,0
A-1+平日+2,11:47:00,11:47:00,66-0,19,,0,0
A-1+平日+2,11:51:00,11:51:00,57-0,20,,0,0
A-1+平日+2,11:52:00,11:52:00,58-0,21,,0,0
A-1+平日+2,11:54:00,11:54:00,63-0,22,,0,0
A-1+平日+2,11:55:00,11:55:00,64-0,23,,0,0
A-1+平日+2,11:56:00,11:56:00,62-0,24,,0,0
A-1+平日+2,11:58:00,11:58:00,61-0,25,,0,0
A-1+平日+2,12:02:00,12:02:00,60-0,26,,0,0
A-1+平日+3,13:22:00,13:22:00,60-0,1,,0,0
A-1+平日+3,13:25:00,13:25:00,61-0,2,,0,0
A-1+平日+3,13:27:00,13:27:00,62-0,3,,0,0
A-1+平日+3,13:29:00,13:29:00,63-0,4,,0,0
A-1+平日+3,13:30:00,13:30:00,64-0,5,,0,0
A-1+平日+3,13:31:00,13:31:00,59-0,6,,0,0
A-1+平日+3,13:35:00,13:35:00,46-0,7,,0,0
A-1+平日+3,13:36:00,13:36:00,47-0,8,,0,0
A-1+平日+3,13:38:00,13:38:00,48-0,9,,0,0
A-1+平日+3,13:39:00,13:39:00,49-0,10,,0,0
A-1+平日+3,13:42:00,13:42:00,50-0,11,,0,0
A-1+平日+3,13:45:00,13:45:00,1-0,12,,0,0
A-1+平日+3,13:52:00,13:52:00,51-0,13,,0,0
A-1+平日+3,13:53:00,13:53:00,52-0,14,,0,0
A-1+平日+3,13:54:00,13:54:00,53-0,15,,0,0
A-1+平日+3,13:55:00,13:55:00,54-0,16,,0,0
A-1+平日+3,13:57:00,13:57:00,55-0,17,,0,0
A-1+平日+3,13:59:00,13:59:00,56-0,18,,0,0
A-1+平日+3,14:03:00,14:03:00,66-0,19,,0,0
A-1+平日+3,14:07:00,14:07:00,57-0,20,,0,0
A-1+平日+3,14:08:00,14:08:00,58-0,21,,0,0
A-1+平日+3,14:10:00,14:10:00,63-0,22,,0,0
A-1+平日+3,14:11:00,14:11:00,64-0,23,,0,0
A-1+平日+3,14:12:00,14:12:00,62-0,24,,0,0
A-1+平日+3,14:14:00,14:14:00,61-0,25,,0,0
A-1+平日+3,14:18:00,14:18:00,60-0,26,,0,0
A-1+平日+4,15:58:00,15:58:00,60-0,1,,0,0
A-1+平日+4,16:01:00,16:01:00,61-0,2,,0,0
A-1+平日+4,16:03:00,16:03:00,62-0,3,,0,0
A-1+平日+4,16:05:00,16:05:00,63-0,4,,0,0
A-1+平日+4,16:06:00,16:06:00,64-0,5,,0,0
A-1+平日+4,16:07:00,16:07:00,59-0,6,,0,0
A-1+平日+4,16:11:00,16:11:00,46-0,7,,0,0
