stop_id,stop_name,stop_lat,stop_lon,zone_id,location_type,parent_station
1-0,上大隈,33.629043,130.494651,1-0,0,1
2-0,原町西バス停,33.611782,130.466326,2-0,0,2
3-0,ABC電器店前,33.614006,130.470714,3-0,0,3
4-0,原町公民館,33.615133,130.467952,4-0,0,4
5-0,下長者原交差点,33.618353,130.468065,5-0,0,5
6-0,青洲会病院,33.619901,130.462438,6-0,0,6
7-0,流通センター南交差点,33.622776,130.458386,7-0,0,7
8-0,多の津,33.622389,130.453067,8-0,0,8
9-0,内橋１区公民館,33.619708,130.454477,9-0,0,9
10-0,内橋,33.619066,130.45603,10-0,0,10
11-0,扇橋バス停,33.611457,130.460147,11-0,0,11
12-0,四軒屋バス停,33.610136,130.453006,12-0,0,12
13-0,乙仲原西公民館,33.610384,130.448098,13-0,0,13
14-0,JR柚須駅前,33.612788,130.445732,14-0,0,14
15-0,柚須文化センター,33.615463,130.449274,15-0,0,15
16-0,阿恵橋,33.614528,130.452791,16-0,0,16
17-0,阿恵,33.614797,130.455662,17-0,0,17
18-0,原町交差点,33.612231,130.468552,18-0,0,18
19-0,三角田,33.618522,130.478497,19-0,0,19
20-0,物流センター入口バス停,33.627813,130.47728,20-0,0,20
21-0,長福寺,33.632327,130.471809,21-0,0,21
22-0,雨水橋横,33.630879,130.468037,22-0,0,22
23-0,広田,33.626746,130.46365,23-0,0,23
24-0,サンライフ,33.623615,130.45947,24-0,0,24
25-0,坪見バス停,33.621411,130.462963,25-0,0,25
26-0,毛田池公園前バス停,33.621615,130.465103,26-0,0,26
27-0,戸原天満宮入口,33.623117,130.470002,27-0,0,27
28-0,伊賀踏切,33.62149,130.473605,28-0,0,28
29-0,粕屋保健福祉事務所,33.619971,130.474287,29-0,0,29
30-0,スポーツ公園,33.618237,130.475546,30-0,0,30
31-0,原町バス停,33.612937,130.471862,31-0,0,31
32-0,原町,33.61312,130.472051,32-0,0,32
33-0,原町西,33.611881,130.466315,33-0,0,33
34-0,熊崎バス停,33.609844,130.466396,34-0,0,34
35-0,高橋バス停,33.606155,130.468704,35-0,0,35
36-0,仲原小学校前バス停,33.60464,130.471949,36-0,0,36
37-0,清光寺前,33.603253,130.475034,37-0,0,37
38-0,宮崎バス停,33.602097,130.479947,38-0,0,38
39-0,酒殿バス停,33.599455,130.483483,39-0,0,39
40-0,緑の里（施設）,33.598568,130.485767,40-0,0,40
41-0,萱場バス停,33.599487,130.488414,41-0,0,41
42-0,JR酒殿駅前,33.602411,130.486263,42-0,0,42
43-0,古賀園,33.603598,130.480536,43-0,0,43
44-0,松尾医院前,33.605703,130.476614,44-0,0,44
45-0,花ヶ浦４丁目,33.610532,130.474716,45-0,0,45
46-0,粕屋町商工会前,33.61436,130.475363,46-0,0,46
47-0,長者原バス停,33.61607,130.479969,47-0,0,47
48-0,大隈バス停,33.618148,130.488774,48-0,0,48
49-0,門松交差点,33.619505,130.495697,49-0,0,49
50-0,粕屋農協本所前,33.623947,130.495746,50-0,0,50
51-0,黒の前バス停,33.622532,130.49569,51-0,0,51
52-0,丸山バス停,33.622817,130.489646,52-0,0,52
53-0,江辻物流センター東,33.625276,130.486989,53-0,0,53
54-0,江辻公園,33.6258,130.482739,54-0,0,54
55-0,宮町,33.622092,130.481276,55-0,0,55
56-0,飯塚信用金庫前,33.616983,130.478728,56-0,0,56
57-0,粕屋フォーラム前,33.614119,130.475066,57-0,0,57
58-0,ダイトー電機店前,33.611581,130.475328,58-0,0,58
59-0,花ヶ浦２丁目,33.61124,130.4757,59-0,0,59
60-0,粕屋町福祉センター,33.613961,130.481784,60-0,0,60
61-0,かすやドーム,33.610359,130.484121,61-0,0,61
62-0,サンレイクかすや,33.610037,130.480765,62-0,0,62
63-0,粕屋町健康センター,33.611455,130.480099,63-0,0,63
