route_id,service_id,trip_id,trip_headsign,block_id,jp_trip_desc
A-2,平日,A-2+平日+1,大隈・上大隈・江辻方面,,サンレイクかすや・かすやドームの休館日は停まりません。
A-1,平日,A-1+平日+2,大隈・上大隈・江辻方面,,サンレイクかすや・かすやドームの休館日は停まりません。
A-1,平日,A-1+平日+3,大隈・上大隈・江辻方面,,サンレイクかすや・かすやドームの休館日は停まりません。
A-1,平日,A-1+平日+4,大隈・上大隈・江辻方面,,サンレイクかすや・かすやドームの休館日は停まりません。
A-2,土曜・日曜・祝日,A-2+土曜・日曜・祝日+5,大隈・上大隈・江辻方面,,サンレイクかすや・かすやドームの休館日は停まりません。
A-1,土曜・日曜・祝日,A-1+土曜・日曜・祝日+6,大隈・上大隈・江辻方面,,サンレイクかすや・かすやドームの休館日は停まりません。
A-1,土曜・日曜・祝日,A-1+土曜・日曜・祝日+7,大隈・上大隈・江辻方面,,サンレイクかすや・かすやドームの休館日は停まりません。
A-1,土曜・日曜・祝日,A-1+土曜・日曜・祝日+8,大隈・上大隈・江辻方面,,サンレイクかすや・かすやドームの休館日は停まりません。
B-1,平日,B-1+平日+1,乙仲原東・甲仲原・酒殿・花ヶ浦方面,,サンレイクかすや・かすやドームの休館日は停まりません。
B-1,平日,B-1+平日+2,乙仲原東・甲仲原・酒殿・花ヶ浦方面,,サンレイクかすや・かすやドームの休館日は停まりません。
B-1,平日,B-1+平日+3,乙仲原東・甲仲原・酒殿・花ヶ浦方面,,サンレイクかすや・かすやドームの休館日は停まりません。
B-1,平日,B-1+平日+4,乙仲原東・甲仲原・酒殿・花ヶ浦方面,,サンレイクかすや・かすやドームの休館日は停まりません。
B-1,土曜・日曜・祝日,B-1+土曜・日曜・祝日+5,乙仲原東・甲仲原・酒殿・花ヶ浦方面,,サンレイクかすや・かすやドームの休館日は停まりません。
B-1,土曜・日曜・祝日,B-1+土曜・日曜・祝日+6,乙仲原東・甲仲原・酒殿・花ヶ浦方面,,サンレイクかすや・かすやドームの休館日は停まりません。
B-1,土曜・日曜・祝日,B-1+土曜・日曜・祝日+7,乙仲原東・甲仲原・酒殿・花ヶ浦方面,,サンレイクかすや・かすやドームの休館日は停まりません。
B-1,土曜・日曜・祝日,B-1+土曜・日曜・祝日+8,乙仲原東・甲仲原・酒殿・花ヶ浦方面,,サンレイクかすや・かすやドームの休館日は停まりません。
C-2,平日,C-2+平日+1,原町・内橋・阿恵・柚須・乙仲原西方面,,サンレイクかすや・かすやドームの休館日は停まりません。
C-1,平日,C-1+平日+2,原町・内橋・阿恵・柚須・乙仲原西方面,,サンレイクかすや・かすやドームの休館日は停まりません。
C-1,平日,C-1+平日+3,原町・内橋・阿恵・柚須・乙仲原西方面,,サンレイクかすや・かすやドームの休館日は停まりません。
