service_id,date,exception_type
平日,20250429,2
土日祝,20250429,1
平日,20250505,2
土日祝,20250505,1
平日,20250506,2
土日祝,20250506,1
平日,20250721,2
土日祝,20250721,1
平日,20250811,2
土日祝,20250811,1
平日,20250915,2
土日祝,20250915,1
平日,20250923,2
土日祝,20250923,1
平日,20251013,2
土日祝,20251013,1
平日,20251103,2
土日祝,20251103,1
平日,20251124,2
土日祝,20251124,1
平日,20251230,2
土日祝,20251230,1
平日,20251231,2
土日祝,20251231,1
平日,20260101,2
土日祝,20260101,2
年末・年始,20260101,1
平日,20260102,2
土日祝,20260102,1
平日,20260112,2
土日祝,20260112,1
平日,20260211,2
土日祝,20260211,1
平日,20260223,2
土日祝,20260223,1
平日,20260320,2
土日祝,20260320,1
