stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,platform_code,parent_station
g002_01,,あら町銀行前,,36.323401,139.00729,g002_01,,0,,
g002_02,,あら町銀行前,,36.323529,139.007405,g002_02,,0,,
g003_01,,連雀町,,36.325239,139.007136,g003_01,,0,,
g003_02,,連雀町,,36.325379,139.006986,g003_02,,0,,
g004_01,,田町,,36.327601,139.00677,g004_01,,0,,
g004_02,,田町,,36.327904,139.006562,g004_02,,0,,
g005_01,,本町三丁目,,36.331139,139.006232,g005_01,,0,,
g005_02,,本町三丁目,,36.331596,139.006589,g005_02,,0,,
g006_01,,総合文化センター前,,36.332651,139.007045,g006_01,,0,,
g006_02,,総合文化センター前,,36.332756,139.006924,g006_02,,0,,
g007_01,,高砂町,,36.333523,139.008241,g007_01,,0,,
g007_02,,高砂町,,36.333382,139.007937,g007_02,,0,,
g008_01,,芝塚,,36.334114,139.013442,g008_01,,0,,
g008_02,,芝塚,,36.335248,139.013216,g008_02,,0,,
g009_01,,飯玉町,,36.338929,139.014028,g009_01,,0,,
g009_02,,飯玉町,,36.33843,139.013562,g009_02,,0,,
g010_01,,島前,,36.341062,139.016946,g010_01,,0,,
g010_02,,島前,,36.341831,139.017377,g010_02,,0,,
g011_01,,島貝沢,,36.344675,139.019468,g011_01,,0,,
g011_02,,島貝沢,,36.344685,139.019597,g011_02,,0,,
g012_01,,貝沢,,36.347451,139.021613,g012_01,,0,,
g012_02,,貝沢,,36.348176,139.021982,g012_02,,0,,
g013_01,,井野川橋,,36.350373,139.023474,g013_01,,0,,
g013_02,,井野川橋,,36.350545,139.023721,g013_02,,0,,
g014_01,,井野駅入口,,36.354071,139.026166,g014_01,,0,,
g014_02,,井野駅入口,,36.354311,139.026464,g014_02,,0,,
g015_01,,井野,,36.356168,139.027732,g015_01,,0,,
g015_02,,井野,,36.357114,139.028593,g015_02,,0,,
g016_01,,中尾中入口,,36.361826,139.031725,g016_01,,0,,
g016_02,,中尾中入口,,36.361878,139.031626,g016_02,,0,,
