table_name,field_name,field_value,language,translation
stop_times,stop_headsign,たかさきえきまえ,ja-Hrkt,たかさきえきまえ
routes,route_short_name,たかさきえきまえ,ja-Hrkt,たかさきえきまえ
stops,stop_name,あら町銀行前,ja-Hrkt,あらまちぎんこうまえ
stops,stop_name,あら町銀行前,en,AramachiGinkoumae(Aramachi Bank)
stops,stop_name,連雀町,ja-Hrkt,れんじゃくちょう
stops,stop_name,連雀町,en,Renjaku-cho
stops,stop_name,田町,ja-Hrkt,たまち
stops,stop_name,田町,en,Ta-machi
stops,stop_name,本町三丁目,ja-Hrkt,もとまちさんちょうめ
stops,stop_name,本町三丁目,en,Moto-machi 3chome
stops,stop_name,総合文化センター前,ja-Hrkt,そうごうぶんかせんたーまえ
stops,stop_name,総合文化センター前,en,SougoubunkaCenter
stops,stop_name,高砂町,ja-Hrkt,たかさごちょう
stops,stop_name,高砂町,en,Takasago-cho
stops,stop_name,芝塚,ja-Hrkt,しばづか
stops,stop_name,芝塚,en,Sibazuka
stops,stop_name,飯玉町,ja-Hrkt,いいだままち
stops,stop_name,飯玉町,en,Iidama-machi
stops,stop_name,島前,ja-Hrkt,しままえ
stops,stop_name,島前,en,Shimamae
stops,stop_name,島貝沢,ja-Hrkt,しまかいざわ
stops,stop_name,島貝沢,en,Shimakaizawa
stops,stop_name,貝沢,ja-Hrkt,かいざわ
stops,stop_name,貝沢,en,Kaizawa
stops,stop_name,井野川橋,ja-Hrkt,いのがわばし
stops,stop_name,井野川橋,en,Inogawabashi
stops,stop_name,井野駅入口,ja-Hrkt,いのえきいりぐち
stops,stop_name,井野駅入口,en,Inoeki Iriguchi(Near Ino Sta.)
stops,stop_name,井野,ja-Hrkt,いの
stops,stop_name,井野,en,Ino
stops,stop_name,中尾中入口,ja-Hrkt,なかおちゅういりぐち
stops,stop_name,中尾中入口,en,Nakaochu Iriguchi(Near Nakao J.H.S.)
stops,stop_name,日高病院,ja-Hrkt,ひだかびょういん
stops,stop_name,日高病院,en,Hidaka Byouin(Hidaka Hospital)
stops,stop_name,日高,ja-Hrkt,ひだか
stops,stop_name,日高,en,Hidaka
stops,stop_name,プレイランド日高,ja-Hrkt,ぷれいらんどひだか
stops,stop_name,プレイランド日高,en,Playland Hidaka
stops,stop_name,染谷橋,ja-Hrkt,そめやばし
stops,stop_name,染谷橋,en,Someyabashi
stops,stop_name,江田,ja-Hrkt,えだ
stops,stop_name,江田,en,Eda
stops,stop_name,フォレストモール新前橋,ja-Hrkt,ふぉれすともーるしんまえばし
stops,stop_name,フォレストモール新前橋,en,Forestmall ShinMaebashi
stops,stop_name,新前橋駅入口,ja-Hrkt,しんまえばしえきいりぐち
stops,stop_name,新前橋駅入口,en,Shin Maebashieki Iriguchi(Near Shin Maebashi Sta.)
stops,stop_name,新前橋駅,ja-Hrkt,しんまえばしえき
stops,stop_name,新前橋駅,en,Shin Maebashieki(Shin Maebashi Sta.)
stops,stop_name,滝川橋,ja-Hrkt,たきがわばし
stops,stop_name,滝川橋,en,Takigawabashi
stops,stop_name,石倉,ja-Hrkt,いしくら
stops,stop_name,石倉,en,Ishikura
stops,stop_name,上石倉,ja-Hrkt,かみいしくら
stops,stop_name,上石倉,en,Kamiishikura
stops,stop_name,中央病院入口,ja-Hrkt,ちゅうおうびょういんいりぐち
stops,stop_name,中央病院入口,en,Chuobyouin Iriguchi(Near Gunmachuo Hospital)
stops,stop_name,県庁前,ja-Hrkt,けんちょうまえ
stops,stop_name,県庁前,en,Kenchoumae(Gunma Prefectural office)
stops,stop_name,市役所・合庁前,ja-Hrkt,しやくしょごうちょうまえ
stops,stop_name,市役所・合庁前,en,Shiyakusho・Gouchoumae(Maebashi City Hall・Joint Government Building)
stops,stop_name,日銀前,ja-Hrkt,にちぎんまえ
stops,stop_name,日銀前,en,Nichiginmae(The Bank of Japan Maebashi Branch)
stops,stop_name,本町,ja-Hrkt,ほんまち
stops,stop_name,本町,en,Hon-machi
stops,stop_name,表町,ja-Hrkt,おもてちょう
stops,stop_name,表町,en,Omote-cho
stops,stop_name,前橋駅,ja-Hrkt,まえばしえき
stops,stop_name,前橋駅,en,Maebashi Sta.
stops,stop_name,Gメッセ群馬,ja-Hrkt,じーめっせぐんま
stops,stop_name,Gメッセ群馬,en,G messe Gunma
stops,stop_name,あら町,ja-Hrkt,あらまち
stops,stop_name,あら町,en,Ara-machi
stops,stop_name,高崎駅,ja-Hrkt,たかさきえき
stops,stop_name,高崎駅,en,Takasaki Sta.
stops,stop_name,伊勢崎市民病院北,ja-Hrkt,いせさきしみんびょういんきた
stops,stop_name,伊勢崎市民病院北,en,Isesaki Municipal Hospital North exit
stops,stop_name,弓町,ja-Hrkt,ゆみちょう
stops,stop_name,弓町,en,Yumi-cho
stops,stop_name,東町十字路,ja-Hrkt,あずまちょうじゅうじろ
stops,stop_name,東町十字路,en,Azuma-cho Jujiro(Azuma-cho Crossroads)
stops,stop_name,江木町十字路,ja-Hrkt,えぎまちじゅうじろ
stops,stop_name,江木町十字路,en,Egi-machi Jujiro(Egi-machi Crossroads)
stops,stop_name,江木町東,ja-Hrkt,えぎまちひがし
stops,stop_name,江木町東,en,Egi-machi Higashi
stops,stop_name,高関町,ja-Hrkt,たかぜきまち
